Port,SupplyDemand,Num Samples
Honningsvag-7b9b43d5fd04,Demand,55
Honningsvag-7b9b43d5fd04,Supply,42
Honolulu-c946080c104a,Demand,42
Honolulu-c946080c104a,Supply,12
Hososhima Ko-a8c3b1f57b21,Demand,10
Hound Point-199882e34b06,Supply,537
Houston-453dd058edad,Demand,1336
Houston-453dd058edad,Supply,1402
Huanghua-501489ae5cef,Demand,129
Huanghua-501489ae5cef,Supply,55
Hudson Terminal-6bffa5cfeb7a,Supply,16
Huelva-8b415901e849,Demand,473
Huizhou Terminal-5f8d257641f5,Supply,16
Huizhou-59dc66ffb6ae,Demand,932
Huizhou-59dc66ffb6ae,Supply,167
Huludao Gang-a3da10e3c819,Demand,11
Huludao Gang-a3da10e3c819,Supply,10
Icdas-bdb5025eb89f,Demand,144
Icdas-bdb5025eb89f,Supply,264
Imam Hasan-5e2120e8c00f,Supply,29
Immingham-03154ce774bb,Demand,372
Incheon-e1adfc095464,Demand,197
Irako-640c479c6310,Demand,59
Ishigaki-db841a8241a4,Demand,20
Isla Taboguilla-18cc376c453a,Demand,91
Isla Taboguilla-18cc376c453a,Supply,45
Istanbul-5b38615ba682,Demand,51
Istanbul-5b38615ba682,Supply,81
Itaqui-c457a428c3f7,Demand,26
Iwakuni Ko-3ec9f7fd5723,Demand,362
Izuhara-ee439c3cbfc0,Demand,11
Jakarta-9cac7206c0ef,Demand,42
Jakarta-9cac7206c0ef,Supply,33
Jask-1817bd28cf9f,Demand,18
Jask-1817bd28cf9f,Supply,18
Jawaharlal Nehru-61a68ba39082,Supply,14
Jazireh-ye Sirri-ae52aab2f31b,Supply,66
Jebel Ali-c5a22157b696,Demand,164
Jebel Dhanna-4c73169e04bb,Supply,819
Jeddah-17dce7ee2e7d,Demand,327
Jeddah-17dce7ee2e7d,Supply,93
Jeju-04d83fba8e92,Demand,23
Jieh-a3c0fd89df46,Demand,18
Jing Tang-d63c27036294,Demand,62
Jing Tang-d63c27036294,Supply,173
Jinghai-cc7e1300b78d,Supply,37
Jinzhou Wan-15248fa643b9,Demand,200
Jinzhou Wan-15248fa643b9,Supply,304
Jizan-2b3fce189dd6,Demand,31
Jizan-2b3fce189dd6,Supply,13
Jose Ignacio-5cdb9d8087e6,Demand,91
Jounieh-6929b1988d12,Demand,25
Kalaeloa Barbers Point Harbor-fb6ec6d1b3e5,Demand,286
Kalaeloa Barbers Point Harbor-fb6ec6d1b3e5,Supply,29
Kalamata-017d361a10bc,Demand,26
Kalamata-017d361a10bc,Supply,99
Kali Limenes-4a137f39ea06,Demand,16
Kali Limenes-4a137f39ea06,Supply,64
Kalianget-b25d6300cd99,Supply,21
Kalundborg-8a215b9131f6,Demand,172
Kalundborg-8a215b9131f6,Supply,48
Kanokawa-23e6c8f81685,Demand,93
Kaohsiung-744e8721bf8f,Demand,533
Kaohsiung-744e8721bf8f,Supply,43
Karabane-105ea04156fc,Supply,13
Karachi-d8f24cbce54f,Demand,583
Karachi-d8f24cbce54f,Supply,32
Karimun-129f2fb1bc00,Demand,327
Karimun-129f2fb1bc00,Supply,309
Karsto-4ec9bbc93551,Supply,213
Kashima-8e7e597c2046,Demand,465
Kashima-8e7e597c2046,Supply,10
Kawasaki-3c5642389c14,Demand,547
Kawasaki-3c5642389c14,Supply,32
Keelung-ebeced683cfa,Demand,22
Kemaman-89e3dab4fd9b,Demand,39
Kemaman-89e3dab4fd9b,Supply,20
Kerteh-f886d5933d0d,Supply,70
Khalij-e Chabahar-327779f694cd,Demand,13
Kharg-15622ded90e9,Demand,35
Kharg-15622ded90e9,Supply,1691
Khasab-567c7511ef5d,Supply,18
Khor Fakkan-6317b39e2dcf,Demand,242
Khor Fakkan-6317b39e2dcf,Supply,610
Khor al Amaya Oil Terminal-12c9d445a32f,Supply,79
Khor al Zubair-6ac463d74ecd,Demand,28
Khor al Zubair-6ac463d74ecd,Supply,282
Kiire-c1d11e2429fa,Demand,1093
Kiire-c1d11e2429fa,Supply,1386
Kijang-07f52d1400df,Supply,11
Kikuma-8856c476b731,Demand,264
King Fahd Industrial Port Jubail-c2b2fbc77ff4,Supply,220
King Fahd Port-34821f7aa799,Demand,342
King Fahd Port-34821f7aa799,Supply,473
Kingston-24bf0b1e7a21,Demand,45
Kingston-24bf0b1e7a21,Supply,15
Kirkenes-4b38b4662083,Demand,64
Kirkenes-4b38b4662083,Supply,73
Kish-e64f0503522c,Demand,10
Kish-e64f0503522c,Supply,35
Kithira-44cd4008ceb1,Supply,15
Kittiwake Terminal-7a36c7a7c2fd,Supply,96
Klaipeda-0d30f18498ba,Demand,11
Klaipeda-0d30f18498ba,Supply,208
Klintholm-5fd12c0b2425,Demand,124
Klintholm-5fd12c0b2425,Supply,79
Ko Si Chang Harbor-272da3f36a5a,Demand,98
Ko Si Chang Harbor-272da3f36a5a,Supply,26
Kobe-979d4b8273a3,Demand,91
Kochi-cc7460ea0c71,Demand,504
Kochi-cc7460ea0c71,Supply,34
Kota Agung-84a3447ce3f6,Demand,47
Kota Agung-84a3447ce3f6,Supply,43
Kotka-1240173c5e40,Supply,88
Kozmino-62a166ce6f35,Demand,11
Kozmino-62a166ce6f35,Supply,1510
Kralendijk-b24e8ab8457c,Demand,86
Kralendijk-b24e8ab8457c,Supply,30
Kribi-0d18ef4d8b20,Supply,265
Kuala Langsa-957e6e4a28ec,Demand,20
Kuala Langsa-957e6e4a28ec,Supply,10
Kuala Linggi Intl Port-6425839cf0d6,Demand,588
Kuala Linggi Intl Port-6425839cf0d6,Supply,741
Kuala Tanjung-1aa47709b95d,Demand,191
Kuala Tanjung-1aa47709b95d,Supply,61
Kuito-2ac15f568c8e,Demand,11
Kuito-2ac15f568c8e,Supply,986
Kukup-739aed8dab99,Demand,155
Kukup-739aed8dab99,Supply,89
Kulevi-76c1817b32b4,Supply,19
Kumul-d1c90b85ecf3,Supply,143
Kurihama-150096464713,Demand,13
Kwinana-e56ccfd3aeb7,Demand,466
Kyaukpyu-025759676013,Demand,25
LOOP-c19184b7b547,Demand,510
LOOP-c19184b7b547,Supply,139
La Coruna-0a44300307c1,Demand,362
La Estacada-30ea10c184a9,Supply,31
La Paloma-38165a549d3a,Demand,397
La Paloma-38165a549d3a,Supply,295
La Pampilla-c82280ceb8a0,Demand,156
La Pampilla-c82280ceb8a0,Supply,42
La Place-3db5c3c7bf08,Demand,11
La Plata-c06d7cba9b45,Demand,13
La Salina-cac490186639,Supply,32
La Skhirra-ec363a356152,Supply,50
Labuan-7c41e61707fc,Demand,24
Labuan-7c41e61707fc,Supply,230
Lagos-47014fd09104,Supply,14
Laizhou-08bba6032811,Demand,503
Laizhou-08bba6032811,Supply,10
Lake Charles-8a861dedd10d,Demand,735
Lanshan-0b14723fa397,Demand,1519
Lanshan-0b14723fa397,Supply,28
Larak Is.-56c401139f36,Demand,92
Larak Is.-56c401139f36,Supply,53
Las Minas-5762ea6ccd2d,Demand,11
Las Palmas-5d1a8657373a,Demand,70
